year,pheic,received,disbursed
2009,2009-2010 H1N1,249057,11231711
2010,2009-2010 H1N1,150753,12020053
2013,2014-2016 Ebola in West Africa,,61500000
2014,2014-2016 Ebola in West Africa,612957325,993773728
2014,2014-2022 Poliovirus,224805017,484135654
2015,2014-2016 Ebola in West Africa,938176022,1283224887
2015,2014-2022 Poliovirus,592148642,936569355
2016,2014-2016 Ebola in West Africa,420180866,449702143
2016,2014-2022 Poliovirus,350633672,733167760
2016,2015-2016 Zika Virus,28245894,201551463
2017,2014-2016 Ebola in West Africa,2403767,2403767
2017,2014-2022 Poliovirus,547723040,912218279
2017,2015-2016 Zika Virus,2700203,2700203
2017,2018-2020 Ebola in DRC,2000000,2000000
2017,2019-2022 COVID-19 Pandemic,1515152,7267591
2018,2014-2016 Ebola in West Africa,713375,713375
2018,2014-2022 Poliovirus,373660950,589804105
2018,2018-2020 Ebola in DRC,173503644,170436877
2018,2019-2022 COVID-19 Pandemic,1516724,7275135
2019,2014-2016 Ebola in West Africa,696316,696316
2019,2014-2022 Poliovirus,539213085,707488955
2019,2018-2020 Ebola in DRC,565274250,552510254
2019,2019-2022 COVID-19 Pandemic,1713789,8116069
2020,2014-2016 Ebola in West Africa,696316,696316
2020,2014-2022 Poliovirus,921067197,1157991581
2020,2018-2020 Ebola in DRC,273548144,270349440
2020,2019-2022 COVID-19 Pandemic,20102926187,21793793501
2021,2014-2016 Ebola in West Africa,696316,696316
2021,2014-2022 Poliovirus,814142250,959671388
2021,2018-2020 Ebola in DRC,1060000,4310000
2021,2019-2022 COVID-19 Pandemic,16838252471,27631479983
2022,2014-2016 Ebola in West Africa,696316,696316
2022,2014-2022 Poliovirus,95272167,103957416
2022,2018-2020 Ebola in DRC,500000,500000
2022,2019-2022 COVID-19 Pandemic,4504064714,5192821818
2022,2022 Monkeypox,725000,9073983
2023,2019-2022 COVID-19 Pandemic,1169355,2312015
